nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Training started
Use Critic:
False
/SCRATCH/liudefen/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epoch 0037 gcn2mind min_ratio 1.0975088967971531 max_ratio 1.1503579952267302 av_ratio 1.1101212892453969
epochs 38 loss -14.338264465332031
epochs 38 loss -13.944722175598145
epochs 38 loss -10.305724143981934
epochs 38 loss -12.157140731811523
epochs 38 loss -11.587987899780273
epochs 38 loss -12.652568817138672
epochs 38 loss -13.192094802856445
epochs 38 loss -12.88980770111084
epochs 38 loss -12.374871253967285
epochs 38 loss -13.906158447265625
epoch 0038 gcn2mind min_ratio 1.0818897637795275 max_ratio 1.133281371784879 av_ratio 1.1106260967499475
epochs 39 loss -13.148356437683105
epochs 39 loss -13.191162109375
epochs 39 loss -12.965543746948242
epochs 39 loss -11.608109474182129
epochs 39 loss -9.69925308227539
epochs 39 loss -11.678644180297852
epochs 39 loss -12.744646072387695
epochs 39 loss -13.123050689697266
epochs 39 loss -10.654535293579102
epochs 39 loss -13.969844818115234
epoch 0039 gcn2mind min_ratio 1.0755905511811024 max_ratio 1.1384377416860016 av_ratio 1.107697229749502
epochs 40 loss -14.325438499450684
epochs 40 loss -12.510734558105469
epochs 40 loss -13.67025089263916
epochs 40 loss -13.505707740783691
epochs 40 loss -15.603782653808594
epochs 40 loss -16.837787628173828
epochs 40 loss -13.890284538269043
epochs 40 loss -12.42191219329834
epochs 40 loss -13.814386367797852
epochs 40 loss -11.684000015258789
epoch 0040 gcn2mind min_ratio 1.0807692307692307 max_ratio 1.1470588235294117 av_ratio 1.1072735310470327
epochs 41 loss -11.214369773864746
epochs 41 loss -13.547783851623535
epochs 41 loss -12.86264419555664
epochs 41 loss -11.316360473632812
epochs 41 loss -13.130455017089844
epochs 41 loss -12.653498649597168
epochs 41 loss -12.470327377319336
epochs 41 loss -12.329572677612305
epochs 41 loss -13.873298645019531
epochs 41 loss -11.393067359924316
epoch 0041 gcn2mind min_ratio 1.0811023622047244 max_ratio 1.1368337311058074 av_ratio 1.1090708331955415
epochs 42 loss -15.700225830078125
epochs 42 loss -12.975193977355957
epochs 42 loss -11.52304458618164
epochs 42 loss -12.117765426635742
epochs 42 loss -11.200889587402344
epochs 42 loss -14.441349983215332
epochs 42 loss -11.796419143676758
epochs 42 loss -13.653618812561035
epochs 42 loss -13.082148551940918
epochs 42 loss -12.606816291809082
epoch 0042 gcn2mind min_ratio 1.092526690391459 max_ratio 1.132262996941896 av_ratio 1.1090154745556304
epochs 43 loss -12.880666732788086
epochs 43 loss -12.364018440246582
epochs 43 loss -15.357172012329102
epochs 43 loss -13.487119674682617
epochs 43 loss -14.14013957977295
epochs 43 loss -12.653707504272461
epochs 43 loss -11.897181510925293
epochs 43 loss -13.871927261352539
epochs 43 loss -12.17659854888916
epochs 43 loss -12.559263229370117
epoch 0043 gcn2mind min_ratio 1.0895522388059702 max_ratio 1.1470588235294117 av_ratio 1.1100570821552649
epochs 44 loss -14.873773574829102
epochs 44 loss -14.021829605102539
epochs 44 loss -10.972026824951172
epochs 44 loss -14.146039962768555
epochs 44 loss -13.77260971069336
epochs 44 loss -12.747075080871582
epochs 44 loss -11.635375022888184
epochs 44 loss -12.401895523071289
epochs 44 loss -11.775385856628418
epochs 44 loss -15.00308609008789
epoch 0044 gcn2mind min_ratio 1.0723076923076924 max_ratio 1.133281371784879 av_ratio 1.102405411832958
epochs 45 loss -12.479053497314453
epochs 45 loss -15.370207786560059
epochs 45 loss -11.354186058044434
epochs 45 loss -14.26519775390625
epochs 45 loss -13.823580741882324
epochs 45 loss -11.172032356262207
epochs 45 loss -13.071869850158691
epochs 45 loss -15.865821838378906
epochs 45 loss -15.263694763183594
epochs 45 loss -12.018436431884766
epoch 0045 gcn2mind min_ratio 1.0800293685756241 max_ratio 1.128440366972477 av_ratio 1.102025926504987
epochs 46 loss -12.49662971496582
epochs 46 loss -11.888638496398926
epochs 46 loss -12.98316764831543
epochs 46 loss -13.189878463745117
epochs 46 loss -12.959565162658691
epochs 46 loss -12.088787078857422
epochs 46 loss -15.189482688903809
epochs 46 loss -15.21347427368164
epochs 46 loss -16.480649948120117
epochs 46 loss -12.600200653076172
epoch 0046 gcn2mind min_ratio 1.0784615384615384 max_ratio 1.1323529411764706 av_ratio 1.1076606020963407
epochs 47 loss -13.574972152709961
epochs 47 loss -15.647007942199707
epochs 47 loss -15.21065616607666
epochs 47 loss -11.427120208740234
epochs 47 loss -13.862425804138184
epochs 47 loss -13.114067077636719
epochs 47 loss -16.86065673828125
epochs 47 loss -13.129277229309082
epochs 47 loss -11.545886993408203
epochs 47 loss -12.588432312011719
epoch 0047 gcn2mind min_ratio 1.073076923076923 max_ratio 1.1249005568814638 av_ratio 1.1075250717959109
epochs 48 loss -14.59093952178955
epochs 48 loss -14.993941307067871
epochs 48 loss -17.827442169189453
epochs 48 loss -11.982039451599121
epochs 48 loss -12.781147956848145
epochs 48 loss -13.189969062805176
epochs 48 loss -9.470858573913574
epochs 48 loss -10.967854499816895
epochs 48 loss -15.103941917419434
epochs 48 loss -11.684748649597168
epoch 0048 gcn2mind min_ratio 1.0825471698113207 max_ratio 1.141640866873065 av_ratio 1.1088948886103889
epochs 49 loss -13.888848304748535
epochs 49 loss -13.045312881469727
epochs 49 loss -12.759337425231934
epochs 49 loss -11.682839393615723
epochs 49 loss -11.304727554321289
epochs 49 loss -12.75078010559082
epochs 49 loss -15.901963233947754
epochs 49 loss -12.00173568725586
epochs 49 loss -17.030263900756836
epochs 49 loss -14.436023712158203
epoch 0049 gcn2mind min_ratio 1.0948012232415902 max_ratio 1.1299212598425197 av_ratio 1.107005895639395
epochs 50 loss -15.41468620300293
epochs 50 loss -13.058049201965332
epochs 50 loss -16.71962547302246
epochs 50 loss -15.042661666870117
epochs 50 loss -10.986807823181152
epochs 50 loss -11.95418930053711
epochs 50 loss -12.22136116027832
epochs 50 loss -12.599739074707031
epochs 50 loss -12.779731750488281
epochs 50 loss -16.519485473632812
epoch 0050 gcn2mind min_ratio 1.0779527559055118 max_ratio 1.1254871395167576 av_ratio 1.105578891626889
epochs 51 loss -12.079319953918457
epochs 51 loss -12.963794708251953
epochs 51 loss -14.345338821411133
epochs 51 loss -13.242349624633789
epochs 51 loss -11.534656524658203
epochs 51 loss -14.063814163208008
epochs 51 loss -12.085492134094238
epochs 51 loss -11.82382583618164
epochs 51 loss -11.438015937805176
epochs 51 loss -12.547286987304688
epoch 0051 gcn2mind min_ratio 1.0876923076923077 max_ratio 1.1368501529051989 av_ratio 1.1073966086079186
epochs 52 loss -13.48090648651123
epochs 52 loss -11.967097282409668
epochs 52 loss -11.986513137817383
epochs 52 loss -12.089879989624023
epochs 52 loss -11.967450141906738
epochs 52 loss -10.937992095947266
epochs 52 loss -12.203773498535156
epochs 52 loss -16.469812393188477
epochs 52 loss -11.73009967803955
epochs 52 loss -10.468947410583496
epoch 0052 gcn2mind min_ratio 1.0645669291338582 max_ratio 1.1270459859703819 av_ratio 1.1063709919726707
epochs 53 loss -12.982039451599121
epochs 53 loss -11.025108337402344
epochs 53 loss -12.278103828430176
epochs 53 loss -12.559492111206055
epochs 53 loss -11.23953914642334
epochs 53 loss -15.912755012512207
epochs 53 loss -13.695186614990234
epochs 53 loss -14.304633140563965
epochs 53 loss -14.553071975708008
epochs 53 loss -11.902464866638184
epoch 0053 gcn2mind min_ratio 1.069377990430622 max_ratio 1.131496062992126 av_ratio 1.1055788004615197
epochs 54 loss -15.579802513122559
epochs 54 loss -13.902265548706055
epochs 54 loss -13.851740837097168
epochs 54 loss -10.727569580078125
epochs 54 loss -10.91767692565918
epochs 54 loss -10.238990783691406
epochs 54 loss -11.890739440917969
epochs 54 loss -13.19002628326416
epochs 54 loss -13.996553421020508
epochs 54 loss -13.016082763671875
epoch 0054 gcn2mind min_ratio 1.0768037238169124 max_ratio 1.1239282930631334 av_ratio 1.1055447870770458
epochs 55 loss -13.640154838562012
epochs 55 loss -14.016507148742676
epochs 55 loss -11.98224925994873
epochs 55 loss -10.136862754821777
epochs 55 loss -12.564959526062012
epochs 55 loss -14.530410766601562
epochs 55 loss -14.218976974487305
epochs 55 loss -9.310874938964844
epochs 55 loss -15.277128219604492
epochs 55 loss -14.301198959350586
epoch 0055 gcn2mind min_ratio 1.0779816513761469 max_ratio 1.1463802704852823 av_ratio 1.1008432560608565
epochs 56 loss -9.589937210083008
epochs 56 loss -12.342378616333008
epochs 56 loss -13.552143096923828
epochs 56 loss -12.375965118408203
epochs 56 loss -12.696327209472656
epochs 56 loss -10.966998100280762
epochs 56 loss -11.595367431640625
epochs 56 loss -12.022607803344727
epochs 56 loss -13.07889461517334
epochs 56 loss -14.975165367126465
epoch 0056 gcn2mind min_ratio 1.0556844547563806 max_ratio 1.1280249804839968 av_ratio 1.1037531415661122
epochs 57 loss -11.875386238098145
epochs 57 loss -12.49062728881836
epochs 57 loss -11.151315689086914
epochs 57 loss -10.836044311523438
epochs 57 loss -14.760293960571289
epochs 57 loss -10.76190185546875
epochs 57 loss -14.630627632141113
epochs 57 loss -11.213993072509766
epochs 57 loss -12.404389381408691
epochs 57 loss -11.803520202636719
epoch 0057 gcn2mind min_ratio 1.079527559055118 max_ratio 1.1508120649651972 av_ratio 1.1106783683075974
epochs 58 loss -10.354095458984375
epochs 58 loss -13.377147674560547
epochs 58 loss -9.633430480957031
epochs 58 loss -14.21794319152832
epochs 58 loss -13.725695610046387
epochs 58 loss -11.424866676330566
epochs 58 loss -12.360058784484863
epochs 58 loss -12.516084671020508
epochs 58 loss -12.963262557983398
epochs 58 loss -16.873119354248047
epoch 0058 gcn2mind min_ratio 1.0747330960854093 max_ratio 1.1283464566929133 av_ratio 1.1033975146700215
epochs 59 loss -17.44738006591797
epochs 59 loss -14.39759635925293
epochs 59 loss -12.885353088378906
epochs 59 loss -13.863637924194336
epochs 59 loss -11.973838806152344
epochs 59 loss -14.644390106201172
epochs 59 loss -11.566315650939941
epochs 59 loss -7.700143337249756
epochs 59 loss -10.087879180908203
epochs 59 loss -12.138883590698242
epoch 0059 gcn2mind min_ratio 1.0822981366459627 max_ratio 1.1366120218579234 av_ratio 1.1070862323580877
epochs 60 loss -13.546527862548828
